query_protein	query_type	is_nrps	is_pks	start_position	end_position	locus	genome_contig_id	window
pigA	req	False	False	6436726	6437902	FQ762_RS30430	GCF_008931305.1_ASM893130v1_genomic.gbff|-|NZ_CP042324.1	window_1
pigG	req	False	False	6445767	6446031	FQ762_RS30480	GCF_008931305.1_ASM893130v1_genomic.gbff|-|NZ_CP042324.1	window_1
pigI	req	False	False	6448063	6449662	FQ762_RS30490	GCF_008931305.1_ASM893130v1_genomic.gbff|-|NZ_CP042324.1	window_1
pigC	req	False	False	6459530	6462332	FQ762_RS30515	GCF_008931305.1_ASM893130v1_genomic.gbff|-|NZ_CP042324.1	window_1
pigA	req	False	False	161777	162953	FHV98_RS16370	GCF_008124915.1_ASM812491v1_genomic.gbff|-|NZ_VNID01000007.1	window_2
pigG	req	False	False	170818	171082	FHV98_RS16420	GCF_008124915.1_ASM812491v1_genomic.gbff|-|NZ_VNID01000007.1	window_2
pigI	req	False	False	173114	174713	FHV98_RS16430	GCF_008124915.1_ASM812491v1_genomic.gbff|-|NZ_VNID01000007.1	window_2
pigC	req	False	False	184581	187383	FHV98_RS16455	GCF_008124915.1_ASM812491v1_genomic.gbff|-|NZ_VNID01000007.1	window_2
pigA	req	False	False	262405	263782	H1X69_07175	genomic2.gbff|-|JACERG010000004.1	window_3
pigG	req	False	False	272127	272388	H1X69_07225	genomic2.gbff|-|JACERG010000004.1	window_3
pigI	req	False	False	274320	276135	H1X69_07235	genomic2.gbff|-|JACERG010000004.1	window_3
pigC	req	False	False	286450	289267	H1X69_07255	genomic2.gbff|-|JACERG010000004.1	window_3
pigM	opt	False	False	1147854	1148913	J0G03_RS05345	GCF_017298755.1_ASM1729875v1_genomic.gbff|-|NZ_CP071196.1	window_4
pigL	opt	False	False	1148909	1149557	J0G03_RS05350	GCF_017298755.1_ASM1729875v1_genomic.gbff|-|NZ_CP071196.1	window_4
pigI	req	False	False	1152153	1153629	J0G03_RS05365	GCF_017298755.1_ASM1729875v1_genomic.gbff|-|NZ_CP071196.1	window_4
pigG	req	False	False	1155576	1155840	J0G03_RS05375	GCF_017298755.1_ASM1729875v1_genomic.gbff|-|NZ_CP071196.1	window_4
pigE	opt	False	False	1156890	1159452	J0G03_RS05385	GCF_017298755.1_ASM1729875v1_genomic.gbff|-|NZ_CP071196.1	window_4
pigC	req	False	False	1162222	1164889	J0G03_RS05395	GCF_017298755.1_ASM1729875v1_genomic.gbff|-|NZ_CP071196.1	window_4
pigA	req	False	False	1166897	1168070	J0G03_RS05405	GCF_017298755.1_ASM1729875v1_genomic.gbff|-|NZ_CP071196.1	window_4
pigA	req	False	False	3210798	3211953	CWC22_013905	genomic3.gbff|-|CP045429.1	window_5
pigC	req	False	False	3213979	3216628	CWC22_013915	genomic3.gbff|-|CP045429.1	window_5
pigE	opt	False	False	3219322	3221875	CWC22_013925	genomic3.gbff|-|CP045429.1	window_5
pigG	req	False	False	3222989	3223238	CWC22_013935	genomic3.gbff|-|CP045429.1	window_5
pigI	req	False	False	3225198	3226695	CWC22_013945	genomic3.gbff|-|CP045429.1	window_5
pigL	opt	False	False	3229310	3229970	CWC22_013960	genomic3.gbff|-|CP045429.1	window_5
pigM	opt	False	False	3229966	3231052	CWC22_013965	genomic3.gbff|-|CP045429.1	window_5
pigA	req	False	False	6163213	6164362	HCH_06021	genomic.gbff|-|CP000155.1	window_6
pigC	req	False	False	6166840	6169567	HCH_06026	genomic.gbff|-|CP000155.1	window_6
pigE	opt	False	False	6172288	6174829	HCH_06028	genomic.gbff|-|CP000155.1	window_6
pigG	req	False	False	6175932	6176175	HCH_06030	genomic.gbff|-|CP000155.1	window_6
pigI	req	False	False	6178506	6180132	HCH_06032	genomic.gbff|-|CP000155.1	window_6
